#,Game Name,Total Visit Count,Game Name (de-emojify)
1,Adopt Me!,14244331994,Adopt Me!
2,💙 MeepCity 💙,7499324296,MeepCity
3,Tower of Hell,6451448586,Tower of Hell
4,Piggy [BOOK 2] BOOK UPDATE!,6228495216,Piggy [BOOK 2] BOOK UPDATE!
5,Royale🌼High,4513655453,Royale High
6,Jailbreak,4289116047,Jailbreak
7,Welcome to Bloxburg,3121756123,Welcome to Bloxburg
8,🍕Work at a Pizza Place,2766657050,Work at a Pizza Place
9,Flee the Facility [Beta],2007466476,Flee the Facility [Beta]
10,Prison Life (Cars fixed!),1681142962,Prison Life (Cars fixed!)
11,Arsenal,1661932703,Arsenal
12,Mad City,1433064630,Mad City
13,Super Hero Tycoon,1354594895,Super Hero Tycoon
14,Hide and Seek Extreme,1287811060,Hide and Seek Extreme
15,Natural Disaster Survival,1262906345,Natural Disaster Survival
16,Epic Minigames,1194879697,Epic Minigames
17,Dungeon Quest!,1109445109,Dungeon Quest!
18,Bee Swarm Simulator,1053514900,Bee Swarm Simulator
19,Weight Lifting Simulator 3,997248780,Weight Lifting Simulator 3
20,Phantom Forces,948034695,Phantom Forces
21,Robloxian High School,941665957,Robloxian High School
22,[🍀SUPER LUCK🍀] Bubble Gum Simulator,905678835,[SUPER LUCK] Bubble Gum Simulator
23,Zombie Attack,885030430,Zombie Attack
24,Pet Simulator!,864161569,Pet Simulator!
25,[🌙MOON!] Speed Run 4 🌘,850615470,[MOON!] Speed Run 4
26,The Floor Is LAVA! 🔥,778933329,The Floor Is LAVA! 
27,Survive and Kill the Killers in Area 51 !!!,756243252,Survive and Kill the Killers in Area 51 !!!
28,Ragdoll Engine,702635260,Ragdoll Engine
29,SharkBite 🦈,701295776,SharkBite
30,Parkour!,697039511,Parkour!
31,🌳 Lumber Tycoon 2,679071135,Lumber Tycoon 2
32,Granny,651243586,Granny
33,Counter Blox,650011113,Counter Blox
34,❓ LUCKY BLOCKS Battlegrounds,648935724,LUCKY BLOCKS Battlegrounds
35,[NEW] Assassin!,646074648,[NEW] Assassin!
36,[UPDATE 14] Blox Fruits,615027767,[UPDATE 14] Blox Fruits
37,(Goppie Pond) Loomian Legacy,604250516,(Goppie Pond) Loomian Legacy
38,Legends Of Speed ⚡,585722750,Legends Of Speed
39,[UPDATE!] Zombie Rush,579285003,[UPDATE!] Zombie Rush
40,Roblox High School [Legacy],575753883,Roblox High School [Legacy]
41,Family Paradise,574437482,Family Paradise
42,Tower Defense Simulator,572391127,Tower Defense Simulator
43,Vehicle Simulator,562060286,Vehicle Simulator
44,Islands 💧 [WATER & BANNERS!],561193292,Islands [WATER & BANNERS!]
45,[Zone Control! (KoTH)] Ro-Ghoul [ALPHA],560453275,[Zone Control! (KoTH)] Ro-Ghoul [ALPHA]
46,Kitty SECRET ENDING!,548855159,Kitty SECRET ENDING!
47,[PART 8] Treacherous Tower,536745138,[PART 8] Treacherous Tower
48,Breaking Point,529035504,Breaking Point
49,⚔️ SKYWARS 🏹,522783741,SKYWARS
50,[2x] Dragon Ball Rage,506981497,[2x] Dragon Ball Rage
51,🔪 Bakon,501339354, Bakon
52,Break In (Story),498567733,Break In (Story)
53,[STREAKS] BIG Paintball!,498427541,[STREAKS] BIG Paintball!
54,Theme Park Tycoon 2,493147299,Theme Park Tycoon 2
55,Rob Mr Rich's Mansion Obby! (NEW READ DESC),492029369,Rob Mr Rich's Mansion Obby! (NEW READ DESC)
56,BOOGA BOOGA - 2020,484841838,BOOGA BOOGA - 2020
57,Pizza Factory Tycoon,463151861,Pizza Factory Tycoon
58,Waterpark,461255910,Waterpark
59,SEASON 4💥 Anime Fighting Simulator,456463648,SEASON 4 Anime Fighting Simulator
60,Flood Escape 🌊,450346754,Flood Escape
61,Be Crushed by a Speeding Wall,431594621,Be Crushed by a Speeding Wall
62,[FIXES🔨] Robloxian Life,414568606,[FIXES] Robloxian Life
63,The Normal Elevator,409576361,The Normal Elevator
64,Car Crushers 2,392320177,Car Crushers 2
65,Adopt and Raise,389360702,Adopt and Raise
66,Tower Battles,380554760,Tower Battles
67,Treasure Hunt Simulator,379878276,Treasure Hunt Simulator
68,[2X LUCK] Saber Simulator,373373250,[2X LUCK] Saber Simulator
69,[SPELLS] Wizard Tycoon - 2 Player,368363616,[SPELLS] Wizard Tycoon - 2 Player
70,Strucid [BETA],366127547,Strucid [BETA]
71,Be A Parkour Ninja,356759312,Be A Parkour Ninja
72,🔥MINI ROYALE! Island Royale,352784786,🔥MINI ROYALE! Island Royale
73,Restaurant Tycoon,351154655,Restaurant Tycoon
74,Roblox High School 2,348168849,Roblox High School 2
75,Dragon Ball Z Final Stand,345314420,Dragon Ball Z Final Stand
76,[FREE ITEMS] 💡 Flicker,327553185,[FREE ITEMS] 💡 Flicker
77,Mega Easy Obby 🌟 700 Stages!,326479814,Mega Easy Obby 🌟 700 Stages!
78,KAT!,323127672,KAT!
79,🔪Survive the Killer!,320207915,🔪Survive the Killer!
80,Broken Bones IV,319270930,Broken Bones IV
81,MEGA UPDATE! 💥 Destruction Simulator,301513482,MEGA UPDATE! 💥 Destruction Simulator
82,Blox Hunt | v2.7.25,293259996,Blox Hunt | v2.7.25
83,[CREATION] Elemental Battlegrounds,290207182,[CREATION] Elemental Battlegrounds
84,Ripull Minigames,286946727,Ripull Minigames
85,Deathrun SEASON 7 🍅🎁,285242968,Deathrun SEASON 7 🍅🎁
86,Restaurant Tycoon 2,284388877,Restaurant Tycoon 2
87,The Neighborhood of Robloxia,280679610,The Neighborhood of Robloxia
88,[FREE ADMIN],279742557,[FREE ADMIN]
89,Redwood Prison,269188334,Redwood Prison
90,[05/16] Corridor of Hell,267719232,[05/16] Corridor of Hell
91,A Bizarre Day,261751455,A Bizarre Day
92,Read Description!,261286836,Read Description!
93,Piggy but it's 100 Players,257104028,Piggy but it's 100 Players
94,Spider,256979562,Spider
95,Kohls Admin House NBC,251968155,Kohls Admin House NBC
96,[BACK] 2 Player Superhero Tycoon,250310822,[BACK] 2 Player Superhero Tycoon
97,Boku No Roblox: Remastered,249232499,Boku No Roblox: Remastered
98,High School Life,247111851,High School Life
99,Dragons' Life,241556680,Dragons' Life
100,[UPDATE] Teen Titans Battlegrounds,235637029,[UPDATE] Teen Titans Battlegrounds
101,Catalog Heaven,231381430,Catalog Heaven
102,Design It!,225713358,Design It!
103,🌻EVENT🌻Treasure Quest,212664358,🌻EVENT🌻Treasure Quest
104,Survive The Disasters! Classic,209190618,Survive The Disasters! Classic
105,Rumble Quest,205864240,Rumble Quest
106,Horse World,205202955,Horse World
107,ESCAPE THE HOTEL! (OBBY) READ DESC!,205167236,ESCAPE THE HOTEL! (OBBY) READ DESC!
108,Survival The Jeff The Killer,203030379,Survival The Jeff The Killer
109,💪 Muscle Legends,202690305,💪 Muscle Legends
110,Get Eaten!,202407278,Get Eaten!
111,My Restaurant!,201102440,My Restaurant!
112,Dinosaur Simulator,199085335,Dinosaur Simulator
113,💥 Super Power Training Simulator,196347450,💥 Super Power Training Simulator
114,CRIMINAL VS. SWAT,193759366,CRIMINAL VS. SWAT
115,Retail Tycoon,193480362,Retail Tycoon
116,A Wolf Or Other,193046101,A Wolf Or Other
117,Field Trip Z,192524448,Field Trip Z
118,Robloxian Waterpark,191452747,Robloxian Waterpark
119,Horror Tycoon,190744598,Horror Tycoon
120,[🎪 CARNIVAL AU] The Pizzeria Roleplay: Remastered,190445309,[🎪 CARNIVAL AU] The Pizzeria Roleplay: Remastered
121,🌷The Elevator (Spring Update),188012351,🌷The Elevator (Spring Update)
122,💥Scary Elevator! *NEW KILLERS*,186533415,💥Scary Elevator! *NEW KILLERS*
123,Escape Banana Guy!,184466944,Escape Banana Guy!
124,Camping,183601056,Camping
125,Home Tycoon 2.0 🏡 [CARS],182639731,Home Tycoon 2.0 🏡 [CARS]
126,Baldis Basics Parkour,181531910,Baldis Basics Parkour
127,👶 DAYCARE! Club Roblox,181409191,👶 DAYCARE! Club Roblox
128,Horrific Housing,178744886,Horrific Housing
129,Theme Park HeideLand 🎢,174981208,Theme Park HeideLand 🎢
130,BEAR (Alpha),173411195,BEAR (Alpha)
131,Dragon Adventures,172533471,Dragon Adventures
132,[METAVERSE] 📦 Unboxing Simulator 📦,172378737,[METAVERSE] 📦 Unboxing Simulator 📦
133,Would You Rather..?,167605264,Would You Rather..?
134,Daycare 🎈 (Story),167397086,Daycare 🎈 (Story)
135,Where's the Baby!,164685295,Where's the Baby!
136,Airplane [Story] ✈️,164101638,Airplane [Story] ✈️
137,Texting Simulator 💬,162611483,Texting Simulator 💬
138,Da Hood,162333706,Da Hood
139,😃CODE: YAY 🍼Baby Simulator👶,161870978,😃CODE: YAY 🍼Baby Simulator👶
140,🚗 +2 CARS! 🚗 Car Dealership Tycoon,161033289,🚗 +2 CARS! 🚗 Car Dealership Tycoon
141,[BACKPACKS] BALDI's BASICS Multiplayer,160364777,[BACKPACKS] BALDI's BASICS Multiplayer
142,Miner's Haven,155327011,Miner's Haven
143,Animatronic World !,153105740,Animatronic World !
144,Escape School Obby! (READ DESC),149954829,Escape School Obby! (READ DESC)
145,Feather Family [🏥 VET],148492061,Feather Family [🏥 VET]
146,[DUAL WIELD❗] Zombie Strike [BETA],145733789,[DUAL WIELD❗] Zombie Strike [BETA]
147,🗼 Climb Time,143784380,🗼 Climb Time
148,Skate Park [Classic] 🛹,143649337,Skate Park [Classic] 🛹
149,Escape The Office Obby! (READ DESC),143177370,Escape The Office Obby! (READ DESC)
150,Reason 2 Die Awakening,142856192,Reason 2 Die Awakening
151,Wizard Tycoon,142612865,Wizard Tycoon
152,Escape Grandpas House Obby!,142067806,Escape Grandpas House Obby!
153,Escape The School Obby!,138704805,Escape The School Obby!
154,Hotel,137961352,Hotel
155,Rogue Lineage,137459467,Rogue Lineage
156,Paradise Life,137171815,Paradise Life
157,💣Super Bomb Survival,135105210,💣Super Bomb Survival
158,Greenville,133404197,Greenville
159,Airport Tycoon!,133358893,Airport Tycoon!
160,[NEW GUN!] Bad Business 2.31,132400429,[NEW GUN!] Bad Business 2.31
161,Knife Simulator,131621576,Knife Simulator
162,Notoriety,131496066,Notoriety
163,🌟 X2! Magnet Simulator ⚡,130579417,🌟 X2! Magnet Simulator ⚡
164,Freeze Tag💎,128893642,Freeze Tag💎
165,SL,128671016,SL
166,[2x EXP] Beyond Beta,128487839,[2x EXP] Beyond Beta
167,Princess Tycoon,128241569,Princess Tycoon
168,[CMDS] Animations: Mocap,125048472,[CMDS] Animations: Mocap
169,[DESC.] Make a Cake: Back for Seconds!,124219999,[DESC.] Make a Cake: Back for Seconds!
170,Parkour,123853834,Parkour
171,Project JoJo,122361645,Project JoJo
172,Camping 2,122243003,Camping 2
173,Color Craze,121395867,Color Craze
174,Pick A Side,120672156,Pick A Side
175,[YIN / YANG] Ninja Assassin,120498454,[YIN / YANG] Ninja Assassin
176,Super Hero Life II,118342176,Super Hero Life II
177,Don't Press The Button [UPDATE],115850511,Don't Press The Button [UPDATE]
178,TSUNAMI SURVIVAL,115846810,TSUNAMI SURVIVAL
179,Bakers Valley,115152055,Bakers Valley
180,[💸2X COINS] 🐾 Pet Ranch Simulator,114516883,[💸2X COINS] 🐾 Pet Ranch Simulator
181,[Candy!] ICE CREAM SIMULATOR 🍦,113449949,[Candy!] ICE CREAM SIMULATOR 🍦
182,The Floor Is Lava (Original),112077991,The Floor Is Lava (Original)
183,Swordburst 2,111854807,Swordburst 2
184,Roblox Talent Show 🎤,111211973,Roblox Talent Show 🎤
185,House Tycoon,110274506,House Tycoon
186,Football Fusion,110066777,Football Fusion
187,???,109278375,???
188,Thrive to Survive the Disasters! *Version 1.17.2*,109220600,Thrive to Survive the Disasters! *Version 1.17.2*
189,Granny Granny Granny Granny Granny,108195651,Granny Granny Granny Granny Granny
190,[Alpha]steve's one piece,107899771,[Alpha]steve's one piece
191,Entry Point,107014901,Entry Point
192,☄️ SABER UPDATE! 🌑 Superhero Simulator,102605186,☄️ SABER UPDATE! 🌑 Superhero Simulator
193,2 Player Super Hero Tycoon,102477827,2 Player Super Hero Tycoon
194,Airplane 2 [Story] ✈️,102033781,Airplane 2 [Story] ✈️
195,Airplane 3 [Story] ✈️,101007404,Airplane 3 [Story] ✈️
196,Downfall [Sandbox],98598654,Downfall [Sandbox]
197,Power Simulator,98375853,Power Simulator
198,[PVP ⚔️] High School,98164495,[PVP ⚔️] High School
199,Dragon Blox Ultimate,97676373,Dragon Blox Ultimate
200,Egg Farm Simulator,97445165,Egg Farm Simulator
201,MUSCLE SIMULATOR,96386537,MUSCLE SIMULATOR
202,CODE:110Mvisits ⚡Warrior Simulator!💪,95003168,CODE:110Mvisits ⚡Warrior Simulator!💪
