,game_id,game_title,video_name,yt_views,yt_likes,yt_comments,yt_thumbnail,video_url,pub_date
151,2455935718,food magnet simulator,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
172,2253490805,get a snack at 4 am,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
160,1663370770,[capoeira + flow] mighty omega,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
155,383310974,adopt me!,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
145,1348402608,season 4  anime fighting simulator,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
142,918677693,[updated peace treaties] rise of nations,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
137,2439513265,dream island  tycoon,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
71,2404080894,[kou] funky friday,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
130,2587756913,cart ride into toilet!,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
76,1720936166,all star tower defense,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
128,1613532065,blox life!  ,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
82,943733974,  week iv     bitcoin miner [beta],Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
86,1128795217,[dogs!] welcome to farmtown! [beta],Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
122,1016936714,new update your bizarre adventure,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
116,2492481398,noob army tycoon,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
93,2530837063, cooking simulator,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
112,2400226697,horror factory tycoon,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
99,2387288336,[read desc pls] basically fnf,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
100,1691616425,[ code] my hero mania,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
168,1778889084,military combat tycoon,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
107,2459807845,friday night funk roleplay (fnf),Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
182,2566300911,factory simulator [closed temporaily],Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
176,648454481,[update 3.5] grand piece online,Roblox How To Code - How To Script On Roblox - Episode 1,1077612,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
57,1511883870,[update + 2x exp] shindo,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
31,1686885941,brookhaven  rp,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
40,2033913602,mall tycoon,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
47,111958650,arsenal,Roblox How To Code - How To Script On Roblox - Episode 1,1077607,26938,5834,https://i.ytimg.com/vi/BfLUt3mfJiY/default.jpg,https://www.youtube.com/watch?v=BfLUt3mfJiY,2019-07-21
